REGIÃO,ANO,MÊS,ROUBO A TRANSEUNTE
PARANOA,2019,AGO,78
PARANOA,2019,SET,73
PARANOA,2019,OUT,66
PARANOA,2019,NOV,73
PARANOA,2019,DEZ,66
PARK WAY,2019,JAN,2
PARK WAY,2019,FEV,7
PARK WAY,2019,MAR,2
PARK WAY,2019,ABR,2
PARK WAY,2019,MAI,3
PARK WAY,2019,JUN,3
PARK WAY,2019,JUL,1
PARK WAY,2019,AGO,4
PARK WAY,2019,SET,7
PARK WAY,2019,OUT,5
PARK WAY,2019,NOV,3
PARK WAY,2019,DEZ,2
PLANALTINA,2019,JAN,165
PLANALTINA,2019,FEV,125
PLANALTINA,2019,MAR,148
PLANALTINA,2019,ABR,162
PLANALTINA,2019,MAI,182
PLANALTINA,2019,JUN,147
PLANALTINA,2019,JUL,132
PLANALTINA,2019,AGO,166
PLANALTINA,2019,SET,152
PLANALTINA,2019,OUT,155
PLANALTINA,2019,NOV,153
PLANALTINA,2019,DEZ,121
RECANTO DAS EMAS,2019,JAN,177
RECANTO DAS EMAS,2019,FEV,145
RECANTO DAS EMAS,2019,MAR,197
RECANTO DAS EMAS,2019,ABR,164
RECANTO DAS EMAS,2019,MAI,153
RECANTO DAS EMAS,2019,JUN,136
RECANTO DAS EMAS,2019,JUL,163
RECANTO DAS EMAS,2019,AGO,175
RECANTO DAS EMAS,2019,SET,179
RECANTO DAS EMAS,2019,OUT,150
RECANTO DAS EMAS,2019,NOV,135
RECANTO DAS EMAS,2019,DEZ,113
RIACHO FUNDO,2019,JAN,18
RIACHO FUNDO,2019,FEV,24
RIACHO FUNDO,2019,MAR,28
RIACHO FUNDO,2019,ABR,19
RIACHO FUNDO,2019,MAI,28
RIACHO FUNDO,2019,JUN,32
RIACHO FUNDO,2019,JUL,22
RIACHO FUNDO,2019,AGO,27
RIACHO FUNDO,2019,SET,21
RIACHO FUNDO,2019,OUT,26
RIACHO FUNDO,2019,NOV,18
RIACHO FUNDO,2019,DEZ,12
RIACHO FUNDO II,2019,JAN,32
RIACHO FUNDO II,2019,FEV,37
RIACHO FUNDO II,2019,MAR,65
RIACHO FUNDO II,2019,ABR,52
RIACHO FUNDO II,2019,MAI,59
RIACHO FUNDO II,2019,JUN,60
RIACHO FUNDO II,2019,JUL,44
RIACHO FUNDO II,2019,AGO,55
RIACHO FUNDO II,2019,SET,48
RIACHO FUNDO II,2019,OUT,61
RIACHO FUNDO II,2019,NOV,35
RIACHO FUNDO II,2019,DEZ,35
SAMAMBAIA,2019,JAN,250
SAMAMBAIA,2019,FEV,212
SAMAMBAIA,2019,MAR,233
SAMAMBAIA,2019,ABR,256
SAMAMBAIA,2019,MAI,307
SAMAMBAIA,2019,JUN,305
SAMAMBAIA,2019,JUL,2562
SAMAMBAIA,2019,AGO,269
SAMAMBAIA,2019,SET,237
SAMAMBAIA,2019,OUT,260
SAMAMBAIA,2019,NOV,259
SAMAMBAIA,2019,DEZ,267
SANTA MARIA,2019,JAN,78
SANTA MARIA,2019,FEV,78
SANTA MARIA,2019,MAR,67
SANTA MARIA,2019,ABR,76
SANTA MARIA,2019,MAI,99
SANTA MARIA,2019,JUN,83
SANTA MARIA,2019,JUL,106
SANTA MARIA,2019,AGO,81
SANTA MARIA,2019,SET,66
SANTA MARIA,2019,OUT,78
SANTA MARIA,2019,NOV,76
SANTA MARIA,2019,DEZ,48
SAO SEBASTIAO,2019,JAN,78
SAO SEBASTIAO,2019,FEV,78
SAO SEBASTIAO,2019,MAR,67
SAO SEBASTIAO,2019,ABR,76
